pattern,support,num_edges,edge_keys
59804c2c5feae328bfcf0300,0.0714285746216774,3,"[0, 37, 50]"
59804c675feae328bfcf0934,0.0714285746216774,4,"[0, 37, 50, 52]"
59804c715feae328bfcf0cae,0.0714285746216774,5,"[0, 37, 50, 52, 59]"
59804c675feae328bfcf094e,0.0714285746216774,5,"[0, 37, 50, 52, 65]"
59804c715feae328bfcf0cb9,0.0714285746216774,5,"[0, 37, 50, 52, 72]"
59804c675feae328bfcf0998,0.0714285746216774,4,"[0, 37, 50, 59]"
59804c665feae328bfcf0922,0.0714285746216774,5,"[0, 37, 50, 59, 65]"
59804c715feae328bfcf0cb2,0.0714285746216774,5,"[0, 37, 50, 59, 72]"
59804c495feae328bfcf059e,0.0714285746216774,4,"[0, 37, 50, 65]"
59804c715feae328bfcf0c95,0.0714285746216774,5,"[0, 37, 50, 65, 72]"
59804c675feae328bfcf0939,0.0714285746216774,4,"[0, 37, 50, 72]"
59804c2c5feae328bfcf02dc,0.1071428582072258,3,"[0, 37, 52]"
59804c495feae328bfcf05e8,0.0714285746216774,4,"[0, 37, 52, 59]"
59804c675feae328bfcf09f4,0.0714285746216774,5,"[0, 37, 52, 59, 65]"
59804c675feae328bfcf096e,0.0714285746216774,5,"[0, 37, 52, 59, 72]"
59804c665feae328bfcf0928,0.0714285746216774,4,"[0, 37, 52, 60]"
59804c675feae328bfcf0946,0.0714285746216774,5,"[0, 37, 52, 60, 65]"
59804c715feae328bfcf0ca4,0.0714285746216774,5,"[0, 37, 52, 60, 72]"
59804c495feae328bfcf056f,0.1071428582072258,4,"[0, 37, 52, 65]"
59804c675feae328bfcf098e,0.1071428582072258,5,"[0, 37, 52, 65, 72]"
59804c665feae328bfcf0910,0.1071428582072258,4,"[0, 37, 52, 72]"
59804c2c5feae328bfcf0298,0.0714285746216774,3,"[0, 37, 59]"
59804c495feae328bfcf0596,0.0714285746216774,4,"[0, 37, 59, 65]"
59804c675feae328bfcf09a2,0.0714285746216774,5,"[0, 37, 59, 65, 72]"
59804c665feae328bfcf092b,0.0714285746216774,4,"[0, 37, 59, 72]"
59804c2c5feae328bfcf02fe,0.0714285746216774,3,"[0, 37, 60]"
59804c495feae328bfcf059d,0.0714285746216774,4,"[0, 37, 60, 65]"
59804c715feae328bfcf0c94,0.0714285746216774,5,"[0, 37, 60, 65, 72]"
59804c665feae328bfcf0927,0.0714285746216774,4,"[0, 37, 60, 72]"
59804c2c5feae328bfcf029f,0.1071428582072258,3,"[0, 37, 65]"
59804c495feae328bfcf05cb,0.1071428582072258,4,"[0, 37, 65, 72]"
59804c105feae328bfcf0030,0.1071428582072258,3,"[0, 37, 72]"
59804bf45feae328bfcefe93,0.25,2,"[0, 38]"
59804c2c5feae328bfcf02c1,0.0714285746216774,3,"[0, 38, 59]"
59804c495feae328bfcf0527,0.0714285746216774,4,"[0, 38, 59, 65]"
59804c675feae328bfcf0a10,0.0714285746216774,5,"[0, 38, 59, 65, 72]"
59804c495feae328bfcf0585,0.0714285746216774,4,"[0, 38, 59, 72]"
59804c2c5feae328bfcf028f,0.0714285746216774,3,"[0, 38, 63]"
59804c495feae328bfcf0533,0.0714285746216774,4,"[0, 38, 63, 72]"
59804c105feae328bfcf004d,0.25,3,"[0, 38, 65]"
59804c495feae328bfcf0549,0.0714285746216774,4,"[0, 38, 65, 67]"
59804c675feae328bfcf09b8,0.0714285746216774,5,"[0, 38, 65, 67, 72]"
59804c495feae328bfcf054d,0.25,4,"[0, 38, 65, 72]"
59804c2c5feae328bfcf0295,0.0714285746216774,3,"[0, 38, 67]"
59804c495feae328bfcf0539,0.0714285746216774,4,"[0, 38, 67, 72]"
59804c105feae328bfcf00b8,0.25,3,"[0, 38, 72]"
59804bf45feae328bfcefe7d,0.3214285671710968,2,"[0, 46]"
59804c2c5feae328bfcf02b3,0.1785714328289032,3,"[0, 46, 52]"
